Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
"Sulam on Zohar, Vayechi 224:1","Zohar, Vayechi 27:224",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 225:1","Zohar, Vayechi 27:225",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 226:1","Zohar, Vayechi 27:226",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 227:1","Zohar, Vayechi 27:227",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 228:1","Zohar, Vayechi 27:228",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 229:1","Zohar, Vayechi 27:229",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 22:1","Zohar, Vayechi 1:22",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 230:1","Zohar, Vayechi 27:230",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 231:1","Zohar, Vayechi 27:231",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 232:1","Zohar, Vayechi 28:232",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 233:1","Zohar, Vayechi 28:233",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 234:1","Zohar, Vayechi 28:234",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 234:2","Zohar, Vayechi 28:234",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 234:3","Zohar, Vayechi 28:234",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 234:4","Zohar, Vayechi 28:234",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 234:5","Zohar, Vayechi 28:234",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 235:1","Zohar, Vayechi 28:235",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 236:1","Zohar, Vayechi 28:236",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 237:1","Zohar, Vayechi 28:237",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 238:1","Zohar, Vayechi 28:238",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 239:1","Zohar, Vayechi 28:239",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 23:1","Zohar, Vayechi 1:23",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 240:1","Zohar, Vayechi 28:240",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 241:1","Zohar, Vayechi 28:241",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 242:1","Zohar, Vayechi 28:242",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
"Sulam on Zohar, Vayechi 243:1","Zohar, Vayechi 28:243",commentary,"Sulam on Zohar, Vayechi","Zohar, Vayechi",Kabbalah,Kabbalah
