Topic 1,Topic 2,Co-occurrence Count
Passover,Pesach,8880.0
Commandments,Mitzvot,7026.0
Haggadah,Passover,6480.0
Haggadah,Pesach,5855.0
Passover,Seder,5108.0
Pesach,Seder,4675.0
Haggadah,Seder,4520.0
High Holidays,Yom Kippur,3625.0
Esther,Purim,3402.0
High Holidays,Rosh Hashanah,3215.0
Prayer,Tefilla,3192.0
Maimonides,Rambam,3101.0
Holidays,Sukkot,2722.5
אמונות ודעות,יחיד וחברה,2719.5
Revelation,Sinai,2690.0
Shavuot,Torah,2682.0
Kabbalah,Rabbi Eliyahu Jian,2607.5
Kabbalah,Vital Transformation,2597.0
Revelation,Torah,2476.0
Chanukah,Light,2440.0
Kabbalah,Rabbi Yehuda Ashlag,2380.0
Rabbi Eliyahu Jian,Vital Transformation,2355.0
Kabbalah,Zohar,2336.0
Rosh Hashanah,Shofar,2276.0
Sinai,Torah,2240.0
Rosh Hashanah,Yom Kippur,2236.0
Holidays,Yom Tov,2101.0
Rabbi Yehuda Ashlag,Vital Transformation,2100.0
Rabbi Eliyahu Jian,Rabbi Yehuda Ashlag,2097.0
Leadership,Moses,2058.0
Maharat,Tanakh,1984.5
Revelation,Shavuot,1848.0
Commandments,Law,1820.5
Commandments,Obligation,1807.0
אחריות וסולידריות,יחיד וחברה,1792.5
Community,Torah,1792.0
Chanukah,Hanukkah,1787.5
Kabbalah,Rabbi Yehuda Tzvi Brandwein,1774.5
Eating,Food,1760.0
Philosophy,Theology,1760.0
יחיד וחברה,מנהיגות,1751.5
Repentance,Tshuva,1739.5
יחיד וחברה,קהילה,1735.5
Kabbalah,Spirituality,1728.0
יחיד וחברה,מעגל השנה,1695.5
High Holidays,Repentance,1665.0
Community,Leadership,1664.0
Shavuot,Sinai,1625.0
Rabbi Eliyahu Jian,Zohar,1613.5
God,Theology,1608.0
Torah,Torah Study,1608.0
Vital Transformation,Zohar,1596.0
Elul,High Holidays,1590.0
העם היהודי,יחיד וחברה,1584.5
Rabbi Eliyahu Jian,Rabbi Yehuda Tzvi Brandwein,1584.0
Blessings,Prayer,1578.0
Spirituality,Zohar,1572.0
Rabbi Yehuda Tzvi Brandwein,Vital Transformation,1566.0
Maharat,Parashah,1551.0
Mitzvot,Obligation,1545.5
Ruth,Shavuot,1544.0
Education,Learning,1532.0
Rabbi Eliyahu Jian,Spirituality,1526.0
Community,Pirkei Avot,1520.0
Poverty,Tzedakah,1519.0
Spirituality,Vital Transformation,1519.0
Holidays,Tanakh,1518.0
Parashah,Tanakh,1512.0
Rabbi Yehuda Ashlag,Rabbi Yehuda Tzvi Brandwein,1500.0
Law,Mitzvot,1489.5
Teshuvah,Yom Kippur,1468.0
Maharat,d'Var Torah,1449.0
Rabbi Yehuda Ashlag,Zohar,1449.0
Sukkah,Sukkot,1430.0
D’var Torah,Maharat,1422.0
Rabbi Yehuda Tzvi Brandwein,Zohar,1417.5
Justice,Tzedakah,1415.0
"היחס ל""אחר""",יחיד וחברה,1414.5
Megillah,Purim,1400.0
Kabbalah,Penimiut,1389.5
Nature,Trees,1374.0
Repentance,Yom Kippur,1344.0
High Holidays,Tshuva,1332.0
Sukkot,Yom Tov,1324.0
יחיד וחברה,מידות וערכים,1321.5
High Holidays,Shofar,1315.0
Rabbi Yehuda Ashlag,Spirituality,1309.0
God,Prayer,1305.0
Liturgy,Prayer,1305.0
Education,Kabbalah,1292.0
אמונות ודעות,מעגל השנה,1287.0
אמונות ודעות,מידות וערכים,1282.5
Community,Tanakh,1272.0
Korbanot,Sacrifices,1264.0
Rabbi Yehuda Tzvi Brandwein,Spirituality,1256.5
חיי אדם,יחיד וחברה,1253.5
Pirkei Avot,Torah,1248.0
Education,Vital Transformation,1242.5
Kabbalah,Learning,1240.0
Holidays,Maharat,1230.0
Language,Speech,1230.0
Education,Zohar,1224.0
Education,Rabbi Eliyahu Jian,1221.5
D’var Torah,Tanakh,1200.5
Penimiut,Vital Transformation,1194.0
Learning,Vital Transformation,1193.5
Penimiut,Rabbi Eliyahu Jian,1185.0
